label,regime,avg_action,avg_invested_fraction,avg_overlay_size,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,avg_convexity_mode,dominant_convexity_mode,avg_convexity_carry,avg_convexity_benefit,avg_council_weight_regime_rules,avg_council_weight_linucb,avg_council_weight_cvar_robust,avg_council_gate_entropy,dominant_council_expert,best_council_expert,ann_return,ann_vol
B1_linucb_tf0.50,bull,0.0,0.9095074626865672,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09049254640850735,0.09373980456075803,0.0001017923562985497,0.4909746197335399,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.07943435883829793,0.10758391451460102
B1_linucb_tf0.50,neutral,0.0,0.9296463414634147,0.0,0.0,0.0,none,0.0,0.0,0.0,0.07035366783304865,0.11142100467511708,0.00012140611861534406,0.5483605490618992,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.021520334042515,0.1210882004510268
B1_linucb_tf0.50,bear,0.0,0.9615454545454545,0.0,0.0,0.0,none,0.0,0.0,0.0,0.03845455506999985,0.13118528715148126,0.00014598443673548352,0.4788168716674395,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.40231330302354595,0.22646076997945702
B1_linucb_tf0.60,bull,0.0,0.9057317073170731,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09426830174024381,0.09003684343022443,9.726482612622266e-05,0.4978258602595596,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.04401346680687359,0.10348361340898421
B1_linucb_tf0.60,neutral,0.0,0.9083125000000001,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0916875090831249,0.12054899978268668,0.000131044838227413,0.5486291900423014,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.1083252849625202,0.10872990771473884
B1_linucb_tf0.60,bear,0.0,0.9287941176470588,0.0,0.0,0.0,none,0.0,0.0,0.0,0.07120589164088224,0.1310430413237822,0.00014385297982110552,0.47981749458656664,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.11168838836533292,0.1263627939652509
B2_thompson_tf0.40,bull,0.0,0.9140445344129553,0.0,0.0,0.0,none,0.0,0.0,0.0,0.08599191197408897,0.11590707993759679,0.00012534406359359385,0.4949590375082823,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.11409106497186305,0.10542067916253381
B2_thompson_tf0.40,neutral,0.0,0.9007227488151659,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09927726019206154,0.11608754091523518,0.00012600006299373572,0.5512915656170642,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.13843668120391556,0.1063536086329638
B2_thompson_tf0.40,bear,0.0,0.9055737704918032,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09442623856393431,0.14434890298848094,0.0001602222479823017,0.48289909545133,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.05394048836669651,0.20719546114214085
B2_thompson_tf0.50,bull,0.0,0.9065970149253733,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09340299414059691,0.12212662906172145,0.0001323632762231323,0.4909746197335399,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.07321633135326885,0.107454723271172
