label,regime,avg_action,avg_hedge_action,avg_hedge_ratio,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,ann_return,ann_vol
alpha_plus_portfolio_rl_tf0.50,bull,1.8305084745762712,0.0,0.0,0.07786925829417755,0.10268884349776883,0.0003676322648509087,0.48189695666879845,0.0639983889794592,0.11270253759667008
alpha_plus_portfolio_rl_tf0.50,neutral,1.7777777777777777,0.0,0.0,0.08207408294503461,0.0955080168299421,0.0003110402508943573,0.5357814299594524,0.11656725148393215,0.09004168209252462
alpha_plus_portfolio_rl_tf0.50,bear,1.4875,0.0,0.0,0.09225000878665429,0.11585597369940301,0.0004499828193290574,0.48318170966024726,0.7107576257142338,0.16704526635502906
alpha_plus_portfolio_rl_tf0.60,bull,1.702917771883289,0.0,0.0,0.08190982319791454,0.10011494000568735,0.00035970654635784623,0.48296014508485874,0.09095789173811468,0.12244375469491989
alpha_plus_portfolio_rl_tf0.60,neutral,0.8857142857142857,0.0,0.0,0.12728572278173608,0.11777797735333671,0.00040498819970526096,0.5343676161383168,0.17074338219998178,0.12504675550008204
alpha_plus_portfolio_rl_tf0.60,bear,1.9090909090909092,0.0,0.0,0.08218182700826895,0.11268395534840767,0.0004724762548259467,0.44075919650159506,0.2099694885512684,0.12730991574358963
alpha_plus_hedge_rl_tf0.40,bull,4.0,1.3939962476547842,0.05664165103189494,9.446169196649383e-09,0.09361051485762939,0.0003311710013421799,0.4892438261014819,0.12789350614282116,0.1124978587337091
alpha_plus_hedge_rl_tf0.40,neutral,4.0,1.2,0.044428571428571435,9.451674906227733e-09,0.07959674080836936,0.00026127941950141386,0.5358576998745365,0.130461458247393,0.09574422420231965
alpha_plus_hedge_rl_tf0.40,bear,4.0,1.0375,0.037125,9.437332794404173e-09,0.11168940836641128,0.0004429737813261297,0.48339462164992353,0.7706926426877471,0.1785412545313015
alpha_plus_hedge_rl_tf0.50,bull,4.0,1.1864406779661016,0.05230024213075061,9.447833505852646e-09,0.0928920857618297,0.0003341436710696617,0.48200097614977316,0.0856418090993399,0.1162285721571465
alpha_plus_hedge_rl_tf0.50,neutral,4.0,0.8888888888888888,0.038518518518518514,9.447342527210176e-09,0.08200837442699041,0.0002684750596243123,0.535783611279581,0.15665307199196113,0.09454901943391347
alpha_plus_hedge_rl_tf0.50,bear,4.0,1.05,0.045,9.441933579434902e-09,0.11405748539730479,0.00045104298163018065,0.4831933532296027,0.7722658827811513,0.18070553909560233
alpha_plus_hedge_rl_tf0.60,bull,4.0,0.9496021220159151,0.03973474801061008,9.44901705126345e-09,0.09081201003432908,0.0003242836985067934,0.48296447057681985,0.12839144433823338,0.12425488149446458
alpha_plus_hedge_rl_tf0.60,neutral,4.0,1.8285714285714285,0.07800000000000001,9.404420313925094e-09,0.10920030464931478,0.00037693440561902984,0.535649570659444,0.18605374444741118,0.13917706497300733
alpha_plus_hedge_rl_tf0.60,bear,4.0,1.5272727272727273,0.06945454545454545,9.375381430794376e-09,0.09004942625821834,0.00038726583873355865,0.4407035193019143,0.3012021175632231,0.12489921739187437
full_pipeline_tf0.40,bull,2.575984990619137,1.170731707317073,0.04956848030018762,0.04493434310883435,0.10795276391162399,0.00038231622538776526,0.48919774721847,0.13163031135003075,0.10496658745477455
full_pipeline_tf0.40,neutral,2.392857142857143,1.3214285714285714,0.052500000000000005,0.05935715188222409,0.09579323540545194,0.0003121176962233295,0.5358802630526008,0.10558397635168645,0.08799062167832174
full_pipeline_tf0.40,bear,1.725,1.6125,0.06812499999999999,0.09137500877371112,0.12565861619455154,0.0004880821912306156,0.4834373021007277,0.6365845396874407,0.1540601528829549
full_pipeline_tf0.60,bull,1.636604774535809,1.3050397877984086,0.0586737400530504,0.09193634830594125,0.10350350703447912,0.00036907473061150386,0.48300694227441426,0.0959458931116957,0.10994270899583802
full_pipeline_tf0.60,neutral,1.2142857142857142,2.1142857142857143,0.09971428571428573,0.11657143714010036,0.11773445290355863,0.00040384243938065584,0.535812500935924,0.1533784128224807,0.12529713583628121
full_pipeline_tf0.60,bear,1.309090909090909,1.981818181818182,0.0925454545454546,0.10654546319824738,0.09808339100053781,0.00040770288235282017,0.4408800983859101,0.23109726515185583,0.11156399065647964
full_pipeline_strict_timing,bull,2.171912832929782,1.1428571428571428,0.05026634382566585,0.06108959740855045,0.10222417615213529,0.00036769318714088004,0.48251747653997734,0.10235155932917556,0.1034562512787427
full_pipeline_strict_timing,neutral,1.8592592592592592,1.4370370370370371,0.061333333333333344,0.07918519406361364,0.09654197699234272,0.0003167863150133558,0.5356203435645013,0.13749018356739565,0.08586711460576849
full_pipeline_strict_timing,bear,1.525,1.4125,0.063125,0.08987500880228994,0.11071437245857134,0.00042818642699958434,0.4846109089803097,0.6762542911834054,0.15758914645047953
full_pipeline,bull,1.9827586206896552,1.396551724137931,0.060517241379310346,0.060689664197408705,0.05693549736405841,0.00024826934119012836,0.5146585982510071,0.3127924969831247,0.12975278455733896
full_pipeline,neutral,1.3410852713178294,1.2093023255813953,0.04883720930232559,0.09581396226194956,0.0844515155156132,0.0003736046843890132,0.5221565466785807,0.1905334266262032,0.16369586713266085
full_pipeline,bear,0.9846153846153847,1.3384615384615384,0.057076923076923074,0.11707693165525537,0.06712975870761734,0.0003363712071844608,0.3999261028582728,-0.4315472079419547,0.14302223623422733
full_pipeline,bull,1.8071428571428572,1.1214285714285714,0.044500000000000005,0.0804285803111944,0.08910052382769741,0.00031064003090488054,0.5167010454731443,0.08207469797689049,0.11227272553866867
full_pipeline,neutral,1.7065217391304348,1.2173913043478262,0.05195652173913045,0.08543479147872875,0.08431514702540464,0.0003449420115096523,0.5244291593034289,0.32256018236157163,0.12987392185257196
full_pipeline,bear,0.95,1.5,0.06699999999999998,0.11950000858323473,0.0862935885241087,0.0004119206531244234,0.4539576203084298,1.1085977039906016,0.1814683933095743
full_pipeline,bull,2.336,1.4,0.06344000000000001,0.06352000898206456,0.11103540246783242,0.0003788722134953075,0.5103629700471357,0.1878952085460837,0.10026454627813598
full_pipeline,neutral,2.02803738317757,2.121495327102804,0.0997196261682243,0.0746729061174052,0.10248170688201967,0.00033466038914886317,0.5345828607513886,0.1706657050442283,0.09117401311234968
full_pipeline,bear,1.05,2.55,0.11949999999999998,0.11750000857413875,0.11244040204402243,0.00037138979135712205,0.5029446349698535,0.7973723920130815,0.09285864484959346
full_pipeline,bull,1.5070422535211268,0.9014084507042254,0.036056338028169,0.08225353001663846,0.10329299446640983,0.0003412887792482623,0.503721206509139,0.3230281556324454,0.12525639924408372
full_pipeline,neutral,1.4097222222222223,0.8194444444444444,0.034166666666666665,0.09458334210196712,0.09940131870869758,0.0003443549734823874,0.5320953147707006,0.18489575583296342,0.11263092790124764
full_pipeline,bear,1.7027027027027026,0.5405405405405406,0.020000000000000004,0.07135136030434956,0.1163465165511973,0.00038322493455350066,0.49203438240430875,0.7197239877211348,0.10923578482318048
full_pipeline,bull,1.1605839416058394,1.0583941605839415,0.042846715328467164,0.10759124955743507,0.1116417076805437,0.00039017067241225035,0.5136447727439872,0.07761138694246365,0.1179214898552894
full_pipeline,neutral,1.2461538461538462,1.7076923076923076,0.07276923076923078,0.09476923955898318,0.09962758147884647,0.0003223753105466642,0.5249440610213121,0.03112944651340569,0.07717873593743621
full_pipeline,bear,1.26,1.12,0.04359999999999999,0.10580000866585927,0.12343660458725565,0.0004391405242853444,0.47786259567857103,0.46169381830758416,0.13624348285634436
full_pipeline,bull,1.7955555555555556,1.0,0.04191111111111112,0.07711112004405642,0.10270731587960255,0.0003685806523829707,0.49093679294995635,0.09338803307109793,0.11224079418844048
full_pipeline,neutral,1.3333333333333333,0.6666666666666666,0.03,0.09666667545382464,0.09700507034340165,0.00035828880225951236,0.5320256166855005,0.4731396320747579,0.07870330308104118
full_pipeline,bear,0.6,1.3333333333333333,0.05733333333333333,0.13200000849257265,0.10373829345242298,0.0006149500212783952,0.43798593529116675,0.53225416102603,0.09648770110917106
full_pipeline_tf0.50,bull,2.079903147699758,1.5012106537530265,0.06421307506053268,0.06634383465847163,0.10308028261844261,0.00036750148829461145,0.4822230294622892,0.08988125737316463,0.10574686629791204
full_pipeline_tf0.50,neutral,1.6,1.5185185185185186,0.06111111111111111,0.0911851939857126,0.0982401327116171,0.0003183889385901446,0.5358880731992834,0.13316845545554945,0.0854481218908854
full_pipeline_tf0.50,bear,1.2625,1.3,0.05500000000000001,0.10575000867776238,0.12076553866778066,0.0004617879693397173,0.48338597435176467,0.6598193390940139,0.15986740942801758
