label,regime,avg_action,avg_invested_fraction,avg_overlay_size,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,avg_convexity_mode,dominant_convexity_mode,avg_convexity_carry,avg_convexity_benefit,avg_council_weight_regime_rules,avg_council_weight_linucb,avg_council_weight_cvar_robust,avg_council_gate_entropy,dominant_council_expert,best_council_expert,ann_return,ann_vol
A1_fixed_tf0.40,bull,0.0,0.95,0.0,0.0,0.0,none,0.0,0.0,0.0,0.050000009499999894,0.04788295827168276,5.220342934689509e-05,0.5688487423602581,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.03284588219864348,0.10889292767189725
A1_fixed_tf0.40,neutral,0.0,0.95,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05000000949999986,0.07128417097394713,7.782433008717707e-05,0.5931001088072576,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.10971840764278461,0.12168649257471094
A1_fixed_tf0.40,bear,0.0,0.95,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05000000949999988,0.06740368256632587,7.428403276430987e-05,0.5577214937431316,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.22842216035890162,0.15035995177793265
A1_fixed_tf0.50,bull,0.0,0.9500000000000001,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05000000949999989,0.03739456169354874,4.05869928932432e-05,0.5726644374719745,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.09192356411144062,0.11173640800440582
A1_fixed_tf0.50,neutral,0.0,0.95,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05000000949999989,0.0630093160704113,6.874607015887523e-05,0.585077826056334,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.2123407419431698,0.11397535855629218
A1_fixed_tf0.50,bear,0.0,0.95,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05000000949999985,0.07773275185815673,8.519966379033065e-05,0.5545433966548486,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.2560639684494992,0.12187784095142938
A1_fixed_tf0.60,bull,0.0,0.95,0.0,0.0,0.0,none,0.0,0.0,0.0,0.050000009499999894,0.03461149197127065,3.754158450942836e-05,0.5757690430993415,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.06421591537685539,0.10705602298018466
A1_fixed_tf0.60,neutral,0.0,0.95,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05000000949999987,0.0555283472524986,5.99820920582657e-05,0.6051293958123892,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.05367352536454572,0.08767823528485487
A1_fixed_tf0.60,bear,0.0,0.9500000000000003,0.0,0.0,0.0,none,0.0,0.0,0.0,0.050000009499999866,0.06203683881834405,6.732842076466122e-05,0.5810120469570634,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.6522571565016752,0.13896317504143474
A2_vol_target_tf0.40,bull,0.0,0.921520518602916,0.0,0.0,0.0,none,0.0,0.0,0.0,0.07847949061228915,0.0460620582507937,4.994762895200331e-05,0.5688487423602581,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.016733839428138317,0.10068501512160664
A2_vol_target_tf0.40,neutral,0.0,0.8172340725562954,0.0,0.0,0.0,none,0.0,0.0,0.0,0.1827659356160451,0.0642915865618162,7.003646928403944e-05,0.5931001088072576,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.08126820738940697,0.10233766937114855
A2_vol_target_tf0.40,bear,0.0,0.7088129600393698,0.0,0.0,0.0,none,0.0,0.0,0.0,0.29118704704875986,0.054708672753214914,5.995637556401365e-05,0.5577214937431316,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.2314121500488521,0.10500455130999092
A2_vol_target_tf0.50,bull,0.0,0.9343575846950981,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0656424246484776,0.04155319230096624,4.5001269045328264e-05,0.5726644374719745,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.07816366614794891,0.10434731417942963
A2_vol_target_tf0.50,neutral,0.0,0.8222397472595385,0.0,0.0,0.0,none,0.0,0.0,0.0,0.17777893441690842,0.057520967654911194,6.257913608434083e-05,0.585077826056334,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.16354636897659852,0.09132559698653689
A2_vol_target_tf0.50,bear,0.0,0.7716801620829961,0.0,0.0,0.0,none,0.0,0.0,0.0,0.2283198456338055,0.06849329602413556,7.445093998894769e-05,0.5545433966548486,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.13042892976752415,0.0996784008108949
A2_vol_target_tf0.60,bull,0.0,0.9490155711111052,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05098443837905032,0.03652290223616098,3.950708268775603e-05,0.5757690430993415,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.06559401374965752,0.10490923171455573
A2_vol_target_tf0.60,neutral,0.0,0.9454344486536786,0.0,0.0,0.0,none,0.0,0.0,0.0,0.054565560800665755,0.062366157125311225,6.739966447765268e-05,0.6051293958123892,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.04844456111908426,0.0879644320978332
A2_vol_target_tf0.60,bear,0.0,0.8941598477754907,0.0,0.0,0.0,none,0.0,0.0,0.0,0.1058401611661076,0.06691185294521144,7.243478650728457e-05,0.5810120469570634,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.5213672915115997,0.10988628416448318
A3_dd_delever_tf0.40,bull,0.0,0.9643243243243244,0.0,0.0,0.0,none,0.0,0.0,0.0,0.035675685318918765,0.046366084411864676,5.04419549801789e-05,0.5688487423602581,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0335102356527158,0.1107022499785391
A3_dd_delever_tf0.40,neutral,0.0,0.9252307692307694,0.0,0.0,0.0,none,0.0,0.0,0.0,0.07476924002153831,0.071774530361324,7.825502550040221e-05,0.5931001088072576,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.08943692903208378,0.11716113514398668
A3_dd_delever_tf0.40,bear,0.0,0.8737556561085973,0.0,0.0,0.0,none,0.0,0.0,0.0,0.12624435262895914,0.06390729549471146,7.033804590271865e-05,0.5577214937431316,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.1574817114950254,0.134802856336548
A3_dd_delever_tf0.50,bull,0.0,0.9712255772646535,0.0,0.0,0.0,none,0.0,0.0,0.0,0.028774432447601975,0.03994954108421513,4.3307051344309396e-05,0.5726644374719745,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.09495357819124502,0.11313156994445284
A3_dd_delever_tf0.50,neutral,0.0,0.9487272727272726,0.0,0.0,0.0,none,0.0,0.0,0.0,0.051272736759999854,0.06304949790104797,6.864714196542304e-05,0.585077826056334,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.1827656396337258,0.10913961928173953
A3_dd_delever_tf0.50,bear,0.0,0.9287500000000002,0.0,0.0,0.0,none,0.0,0.0,0.0,0.07125000928749985,0.08628475468968695,9.437207185399846e-05,0.5545433966548486,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.261621382210555,0.11881619425210833
A3_dd_delever_tf0.60,bull,0.0,0.9670520231213873,0.0,0.0,0.0,none,0.0,0.0,0.0,0.03294798654913279,0.03735284074479786,4.045998011201262e-05,0.5757690430993415,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.06260400373827062,0.11018159295321013
A3_dd_delever_tf0.60,neutral,0.0,1.0,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999832500625e-09,0.05938887820262018,6.414106140390186e-05,0.6051293958123892,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.045480929153004446,0.09321212984258562
A3_dd_delever_tf0.60,bear,0.0,0.9500000000000003,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05000000949999985,0.05796526008476441,6.266299370161843e-05,0.5810120469570634,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.6169417623655472,0.13112660158692177
A4_regime_rules_tf0.40,bull,0.0,0.9333333333333336,0.0,0.0,0.0,none,0.0,0.0,0.0,0.06666667599999984,0.047587423540841806,5.1877941250117824e-05,0.5688487423602581,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.029325402517414546,0.10676461435027122
A4_regime_rules_tf0.40,neutral,0.0,0.9000000000000004,0.0,0.0,0.0,none,0.0,0.0,0.0,0.10000000899999983,0.06839694724998444,7.468395089324984e-05,0.5931001088072576,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.10304090364258246,0.11537711073641066
A4_regime_rules_tf0.40,bear,0.0,0.808371040723982,0.0,0.0,0.0,none,0.0,0.0,0.0,0.1916289673597283,0.06696537121192855,7.381360047805203e-05,0.5577214937431316,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.20079082453144642,0.12823605733486362
A4_regime_rules_tf0.50,bull,0.0,0.9369449378330373,0.0,0.0,0.0,none,0.0,0.0,0.0,0.06305507153641192,0.038242743976759364,4.151936124819796e-05,0.5726644374719745,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.08776422718330847,0.11083836192875093
A4_regime_rules_tf0.50,neutral,0.0,0.9000000000000002,0.0,0.0,0.0,none,0.0,0.0,0.0,0.10000000899999983,0.05947756496802244,6.486247804962804e-05,0.585077826056334,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.20689853541879516,0.10664283143403767
A4_regime_rules_tf0.50,bear,0.0,0.796875,0.0,0.0,0.0,none,0.0,0.0,0.0,0.20312500796874983,0.07601221252925101,8.319944315104207e-05,0.5545433966548486,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.2188660309869046,0.1006661589176085
A4_regime_rules_tf0.60,bull,0.0,0.9383429672447015,0.0,0.0,0.0,none,0.0,0.0,0.0,0.061657042138728156,0.03647842973102988,3.9562940740135915e-05,0.5757690430993415,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.06546621264256552,0.1083139098605804
