label,regime,avg_action,avg_invested_fraction,avg_overlay_size,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,ann_return,ann_vol
factor_only_tf0.50,neutral,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999849002104e-09,0.11876883386184835,0.0001288313555584575,0.5463545817409508,0.22118855067714888,0.11949137213867712
factor_only_tf0.50,bear,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999850407449e-09,0.13451672841577467,0.00015072848069485237,0.4811206708932797,0.07577933037398922,0.2251971651569864
factor_only_tf0.60,bull,0.0,0.9999999900000001,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999840490612e-09,0.09820829764782142,0.00010630286860000156,0.4963818077894236,0.0001426308310995384,0.11415902804044467
factor_only_tf0.60,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999984177238e-09,0.11897470643719035,0.0001291075779861672,0.5452867181632092,0.07498396307438893,0.11057598276508762
factor_only_tf0.60,bear,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999984177238e-09,0.1376696992143482,0.00014980547391684956,0.48871945953142887,0.06489141981747792,0.14105945519053867
A1_fixed_tf0.40,bull,0.0,0.9500000000000001,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0500000094999999,0.0828721713846897,8.968862630802741e-05,0.4952451747287519,0.1370035790916667,0.11518284477338431
A1_fixed_tf0.40,neutral,0.0,0.9499999999999998,0.0,0.0,0.0,none,0.0,0.0,0.0,0.050000009499999894,0.1052861302794089,0.00011438365732242306,0.5489548532310417,0.15480135900444894,0.11510771214688206
A1_fixed_tf0.40,bear,0.0,0.9499999999999998,0.0,0.0,0.0,none,0.0,0.0,0.0,0.050000009499999894,0.11520262841847802,0.00012864122245082572,0.48285303303192656,0.05774935591224152,0.21435854772448593
A1_fixed_tf0.50,bull,0.0,0.9499999999999997,0.0,0.0,0.0,none,0.0,0.0,0.0,0.050000009499999894,0.08963939679985154,9.743684216080293e-05,0.49405107260919634,0.07933128924386798,0.11637678932874213
A1_fixed_tf0.50,neutral,0.0,0.9499999999999998,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0500000094999999,0.11113757847942417,0.00012055382180376977,0.5463545817409508,0.20941732930557455,0.11352008467149853
A1_fixed_tf0.50,bear,0.0,0.95,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05000000949999991,0.1238693969055736,0.00013869346071166699,0.4811206708932797,0.07691262896235249,0.2140487888773369
A1_fixed_tf0.60,bull,0.0,0.9499999999999998,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05000000949999991,0.09195714030521525,9.953938333943592e-05,0.4963818077894236,0.0012828154045660264,0.10870511224063936
A1_fixed_tf0.60,neutral,0.0,0.95,0.0,0.0,0.0,none,0.0,0.0,0.0,0.05000000949999988,0.10960893071399376,0.00011896288454522663,0.5452867181632092,0.07089557682742911,0.10483964190465017
A1_fixed_tf0.60,bear,0.0,0.95,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0500000094999999,0.12815359231561893,0.00013943390374581801,0.48871945953142887,0.061113752326541454,0.13431861360968886
A2_vol_target_tf0.40,bull,0.0,0.9004293028963949,0.0,0.0,0.0,none,0.0,0.0,0.0,0.09955752725065498,0.08179208668506249,8.81692945625377e-05,0.4952451747287519,0.10542440819750507,0.10115150897555555
A2_vol_target_tf0.40,neutral,0.0,0.8415582702862919,0.0,0.0,0.0,none,0.0,0.0,0.0,0.15844173812929066,0.09552256142495141,0.00010336309957099473,0.5489548532310417,0.10166294963226745,0.09714456628815644
A2_vol_target_tf0.40,bear,0.0,0.6582126226887509,0.0,0.0,0.0,none,0.0,0.0,0.0,0.34178325758573874,0.08679057788346511,9.479875551152218e-05,0.48285303303192656,0.0333915101499205,0.10280718224231787
A2_vol_target_tf0.50,bull,0.0,0.8957671091988267,0.0,0.0,0.0,none,0.0,0.0,0.0,0.10423150204349342,0.08594433924924696,9.285361019975207e-05,0.49405107260919634,0.03426978472688461,0.10284775848938955
A2_vol_target_tf0.50,neutral,0.0,0.852651984183929,0.0,0.0,0.0,none,0.0,0.0,0.0,0.1473136760723933,0.10131962526290238,0.00010959164293667645,0.5463545817409508,0.1924353558935789,0.09851311519705044
A2_vol_target_tf0.50,bear,0.0,0.6771990528590222,0.0,0.0,0.0,none,0.0,0.0,0.0,0.3228009539129684,0.09400631157659999,0.00010309024553082471,0.4811206708932797,0.07823694708340873,0.10563109170796714
A2_vol_target_tf0.60,bull,0.0,0.9152023031180464,0.0,0.0,0.0,none,0.0,0.0,0.0,0.08475280126467477,0.09090118185152023,9.810550936892045e-05,0.4963818077894236,0.02155889648350789,0.10006308200969175
A2_vol_target_tf0.60,neutral,0.0,0.8574957343763788,0.0,0.0,0.0,none,0.0,0.0,0.0,0.14250427419857842,0.10162220435406834,0.00010994710482877318,0.5452867181632092,0.03151732229756252,0.092247877860333
A2_vol_target_tf0.60,bear,0.0,0.79373311724822,0.0,0.0,0.0,none,0.0,0.0,0.0,0.20615149412769754,0.12009890232735784,0.00013022501514830962,0.48871945953142887,0.07920200124552632,0.0979424243689545
A3_dd_delever_tf0.40,bull,0.0,0.9532725766362883,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0467274328964373,0.08461949816872666,9.140111359920621e-05,0.4952451747287519,0.11508223643503908,0.11512047102014011
A3_dd_delever_tf0.40,neutral,0.0,0.9173469387755102,0.0,0.0,0.0,none,0.0,0.0,0.0,0.08265307039795904,0.10363646485303137,0.00011240776275940006,0.5489548532310417,0.11910290585702557,0.10998521784759008
