label,ann_return,ann_vol,sharpe,max_drawdown,calmar,var5_pct,avg_turnover,avg_transaction_cost,suite,window_id,param_name,param_value
alpha_plus_hedge_rl_tf0.50,0.18837500397999082,0.12315202130724041,1.2454118892878832,-0.1315792268390478,1.4316468806580598,-1.0788604544518525,0.09324866369277668,0.0003349186428845014,ablation,full_sample,train_frac,0.5
alpha_plus_hedge_rl_tf0.60,0.1553654444079881,0.12655807115675313,0.9510688160553342,-0.13723312271795682,1.1321277983742968,-1.1798612855454522,0.09329256484580896,0.0003385258642644202,ablation,full_sample,train_frac,0.6
full_pipeline_tf0.40,0.18043489483904082,0.10889693427019848,1.3355277855931682,-0.10790367003356327,1.6721848113328186,-0.9934694017579703,0.10757312804412082,0.0003805014620204439,ablation,full_sample,train_frac,0.4
full_pipeline_tf0.60,0.11876183303592625,0.11241934026504563,0.7450837675048384,-0.12825362288659992,0.9259919611082972,-1.0160878959715243,0.10489406446270383,0.0003781549855111314,ablation,full_sample,train_frac,0.6
full_pipeline_strict_timing,0.18301387273761205,0.109220974911588,1.3551779711328007,-0.11244549783160143,1.6275783378709439,-0.9734991953492894,0.10208423796414626,0.00036445597607635865,timing_discipline,full_sample,strict_timing,1
full_pipeline,0.05821511247450152,0.15234347803592263,0.15238664135763644,-0.1221339491804707,0.4766496792958314,-1.4103922575323762,0.0736505502564469,0.0003351537878658735,rolling_window,0,window_start,2021-03-30
full_pipeline,0.2513410657692115,0.12679219743621695,1.7062646841135114,-0.059759836786909326,4.205851910320977,-1.1108757344272127,0.08713070885990888,0.00033120112082563394,rolling_window,1,window_start,2021-09-28
full_pipeline,0.22895071169942266,0.0964952826435636,2.009949981869499,-0.07978952131345547,2.8694329685931255,-0.8865908463590116,0.10751498407037938,0.0003595058894959692,rolling_window,2,window_start,2022-03-29
full_pipeline,0.3023403787124299,0.11642418567965865,2.296261332549957,-0.05402137394721393,5.596679622422421,-0.9845186775477088,0.10298576830778511,0.00034919818288321405,rolling_window,3,window_start,2022-09-28
full_pipeline,0.14182882916614323,0.11349505485557414,0.9412640919857274,-0.06375901073588659,2.2244511839924677,-1.1703319205382878,0.11088308324492971,0.0003824000139693599,rolling_window,4,window_start,2023-03-30
full_pipeline,0.13759442635430386,0.11028291953895485,0.9302838325315324,-0.10908493679544351,1.2613511799416415,-1.087443135609435,0.10249714809054657,0.0003827554076684861,rolling_window,5,window_start,2023-09-29
full_pipeline,0.1829435462941113,0.11039378375075119,1.3401436916656793,-0.10083813869734604,1.8142295218369693,-1.0512215466497783,0.10363328972277334,0.00034857347688763927,cost_sensitivity,full_sample,base_cost_bps,3.0
full_pipeline,0.15079419689288995,0.10705254505945277,1.0816574796237457,-0.12094917857958601,1.2467565815347788,-0.9643646984680085,0.10417210531126142,0.0003733649785722972,cost_sensitivity,full_sample,base_cost_bps,5.0
full_pipeline,0.15155592699951012,0.11058457826288699,1.0539979289196049,-0.11662559008809022,1.299508228768265,-0.978718003983361,0.10036140805414943,0.0003875874941802529,cost_sensitivity,full_sample,base_cost_bps,8.0
full_pipeline,0.15291412784402109,0.11304340246445387,1.043087122667133,-0.12244838744613855,1.2488046477805765,-1.0599217786866717,0.10512160943076937,0.0004495673698020633,cost_sensitivity,full_sample,base_cost_bps,12.0
full_pipeline,0.15893509308731893,0.10892834551639308,1.137767044217127,-0.12081700876671476,1.3155025236486446,-1.030415435656029,0.11409077576650395,0.00039930459555317244,rebalance_sensitivity,full_sample,rebalance_band,0.005
full_pipeline,0.15460542241094388,0.10739941744241555,1.1136504659214579,-0.11541724694642848,1.339534715183058,-0.9691897095840938,0.09985555537443219,0.0003590763726077335,rebalance_sensitivity,full_sample,rebalance_band,0.015
full_pipeline,0.17455635454237917,0.1047716412223582,1.3320049165417558,-0.09839178951407353,1.774094542476697,-0.992705723911877,0.08701752615634457,0.0003119711682308434,rebalance_sensitivity,full_sample,rebalance_band,0.03
full_pipeline,0.16098170919984017,0.11326164974312677,1.1123067548679932,-0.11067856458660374,1.4544974924110108,-0.9898883115846044,0.10317228405585915,0.0003696361294811249,hedge_sensitivity,full_sample,hedge_scale,0.75
full_pipeline,0.1734745016562019,0.10957241555647786,1.2637714365903747,-0.1105000919413737,1.569903544055005,-0.948348783548208,0.10008127143060427,0.00035698985527345253,hedge_sensitivity,full_sample,hedge_scale,1.0
full_pipeline,0.16206956451356405,0.1073198523613172,1.184026532625945,-0.13058001437332037,1.2411512809204033,-0.9399893588523172,0.1048013631473744,0.00037278183346105623,hedge_sensitivity,full_sample,hedge_scale,1.25
full_pipeline,0.17110682315639103,0.10919097815573843,1.2465023483647086,-0.10039563726033886,1.7043251159354447,-1.0105949114941983,0.102786083353111,0.00036420234489735736,macro_lag_sensitivity,full_sample,macro_lag_days,1
full_pipeline,0.17835310336204208,0.11222785838430695,1.2773396254052656,-0.11133066196921944,1.6020122775451577,-1.0480898947279227,0.10436782975452623,0.0003717498031367711,macro_lag_sensitivity,full_sample,macro_lag_days,3
full_pipeline,0.14436423739204296,0.10662924606453805,1.025649445831729,-0.12458968938360354,1.1587172784449453,-0.9507863286023355,0.10427288766191087,0.0003729657787157433,macro_lag_sensitivity,full_sample,macro_lag_days,5
full_pipeline_reward_differential_sharpe,0.16362727145897768,0.10946535568382226,1.1750499407319601,-0.11500929632134652,1.4227307049551985,-1.026851552988322,0.10041271400030073,0.0003593151685683029,reward_ablation,full_sample,reward_mode,differential_sharpe
e2e_reward_differential_sharpe,0.0,0.0,-3500000.0000000005,0.0,0.0,0.0,,,reward_ablation,full_sample,reward_mode,e2e_differential_sharpe
full_pipeline_reward_return,0.17732100386795935,0.11284894351454741,1.2611637009962409,-0.1019383288772634,1.7394927739744592,-1.0144114943055518,0.09603478066348943,0.00034212970782704436,reward_ablation,full_sample,reward_mode,return
e2e_reward_return,0.0,0.0,-3500000.0000000005,0.0,0.0,0.0,,,reward_ablation,full_sample,reward_mode,e2e_return
full_pipeline_reward_sortino,0.16812855948189873,0.10836384210423573,1.2285329184665907,-0.0943076542017302,1.7827666595819915,-0.9430433908334929,0.10516454471761053,0.0003755273844570583,reward_ablation,full_sample,reward_mode,sortino
e2e_reward_sortino,0.0,0.0,-3500000.0000000005,0.0,0.0,0.0,,,reward_ablation,full_sample,reward_mode,e2e_sortino
full_pipeline_reward_mean_variance,0.1650799369465807,0.11050822119460307,1.1771063163386646,-0.09546877581623263,1.729150900319841,-1.0721953261909982,0.10022942284891886,0.0003606337111797214,reward_ablation,full_sample,reward_mode,mean_variance
e2e_reward_mean_variance,0.0,0.0,-3500000.0000000005,0.0,0.0,0.0,,,reward_ablation,full_sample,reward_mode,e2e_mean_variance
full_pipeline_tf0.50,0.17179020367697018,0.11098882068776897,1.2324681936850475,-0.10243061892742886,1.6771370582785539,-0.9954116947665076,0.10429270339316489,0.0003689548708957348,ablation,full_sample,train_frac,0.5
