label,regime,avg_action,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,ann_return,ann_vol
factor_plus_pairs_tf0.50,bull,4.0,0.0,0.0,none,0.0,0.0,0.0,9.592127679251864e-09,0.016943009894795562,1.8350592469113116e-05,0.2890085703534536,0.16859662671556305,0.15157226463331236
factor_plus_pairs_tf0.50,neutral,4.0,0.0,0.0,none,0.0,0.0,0.0,9.581158500056678e-09,0.01933366209779384,2.0943759201520308e-05,0.3349422122222493,0.2871149842112185,0.15885021401431945
factor_plus_pairs_tf0.50,bear,4.0,0.0,0.0,none,0.0,0.0,0.0,9.607126346173283e-09,0.031174180897244705,3.540659925271906e-05,0.25113553333348604,0.2516301409938056,0.35130479905759787
factor_plus_pairs_tf0.60,bull,4.0,0.0,0.0,none,0.0,0.0,0.0,9.590486127764494e-09,0.021183510667731404,2.293005897430112e-05,0.293041208855025,0.04931740962027565,0.14056147778676617
factor_plus_pairs_tf0.60,neutral,4.0,0.0,0.0,none,0.0,0.0,0.0,9.595216739673636e-09,0.020285839196590487,2.2021457627457706e-05,0.3332519789531703,0.1571983148580561,0.14943146857219292
factor_plus_pairs_tf0.60,bear,4.0,0.0,0.0,none,0.0,0.0,0.0,9.610381392540408e-09,0.019575237341801378,2.1459968205281437e-05,0.25865312364184284,0.45705771696811814,0.20753009699480407
factor_plus_lstm_tf0.40,bull,4.0,0.0,0.0,none,0.0,0.0,0.0,9.568089612610832e-09,0.01942571211176037,2.099118172844148e-05,0.28734973129514063,0.22676475138476967,0.15401963909708344
factor_plus_lstm_tf0.40,neutral,4.0,0.0,0.0,none,0.0,0.0,0.0,9.585592581136252e-09,0.02165783998871285,2.3496750132025523e-05,0.3350317729021241,0.29564140974644426,0.16274272051060873
factor_plus_lstm_tf0.40,bear,4.0,0.0,0.0,none,0.0,0.0,0.0,9.577688640924814e-09,0.025065305973525073,2.8945255923072266e-05,0.249029579361304,-0.058255584257788574,0.3491509494878755
factor_plus_lstm_tf0.50,bull,4.0,0.0,0.0,none,0.0,0.0,0.0,9.57372524757204e-09,0.017098924125569254,1.852708344811701e-05,0.28653996809792115,0.1710187039407037,0.1522355494170216
factor_plus_lstm_tf0.50,neutral,4.0,0.0,0.0,none,0.0,0.0,0.0,9.578668137147819e-09,0.019784447760983714,2.142942414570032e-05,0.3331663826717337,0.2818972395573709,0.15884310931440587
factor_plus_lstm_tf0.50,bear,4.0,0.0,0.0,none,0.0,0.0,0.0,9.592268639996799e-09,0.031192600908243807,3.542523469318277e-05,0.24957245294875932,0.23873429577513847,0.3508421458845122
factor_plus_lstm_tf0.60,bull,4.0,0.0,0.0,none,0.0,0.0,0.0,9.579948036531524e-09,0.020993505053025985,2.2726267820668335e-05,0.29062623439684204,0.06134188350926496,0.14042745727737227
factor_plus_lstm_tf0.60,neutral,4.0,0.0,0.0,none,0.0,0.0,0.0,9.590127471160849e-09,0.020428458546459492,2.21960021235854e-05,0.3312214950542609,0.15485612412798277,0.14967038796495571
factor_plus_lstm_tf0.60,bear,4.0,0.0,0.0,none,0.0,0.0,0.0,9.616084392958e-09,0.021027038591009208,2.3043274965236794e-05,0.2570043582502068,0.447435400713752,0.20826999186753725
alpha_stack_no_rl_tf0.40,bull,4.0,0.0,0.0,none,0.0,0.0,0.0,9.220506210616522e-09,0.09974484762171248,0.00010760378684781528,0.48752697657851163,0.19068929465911297,0.14494544166942352
alpha_stack_no_rl_tf0.40,neutral,4.0,0.0,0.0,none,0.0,0.0,0.0,9.230920292319202e-09,0.11014897667646878,0.00011951803763645572,0.5332776903535946,0.26452631619490075,0.15923418238991996
alpha_stack_no_rl_tf0.40,bear,4.0,0.0,0.0,none,0.0,0.0,0.0,9.21804583189021e-09,0.11335641024771533,0.00012844949473132507,0.4497980158574176,0.13149110642019024,0.33422571323111533
alpha_stack_no_rl_tf0.50,bull,4.0,0.0,0.0,none,0.0,0.0,0.0,9.220971741604048e-09,0.09907078970842872,0.00010718997569455006,0.48682577602785065,0.12771701440881228,0.1442010429451181
alpha_stack_no_rl_tf0.50,neutral,4.0,0.0,0.0,none,0.0,0.0,0.0,9.218779445304368e-09,0.10348563462712569,0.00011215018300941113,0.5308404138661736,0.34114015126282143,0.15028784142638377
alpha_stack_no_rl_tf0.50,bear,4.0,0.0,0.0,none,0.0,0.0,0.0,9.238567885251246e-09,0.13753023168386458,0.00015548132534611066,0.4498553545621677,0.27632927770538834,0.3311039936792382
alpha_stack_no_rl_tf0.60,bull,4.0,0.0,0.0,none,0.0,0.0,0.0,9.223756744936723e-09,0.10345119817243865,0.00011193061175009623,0.48964482195302583,0.05415979141940768,0.13745483807084574
alpha_stack_no_rl_tf0.60,neutral,4.0,0.0,0.0,none,0.0,0.0,0.0,9.228985709603461e-09,0.10391290812223354,0.00011271217717973196,0.5317832187698142,0.14348046351543856,0.14662107206123653
alpha_stack_no_rl_tf0.60,bear,4.0,0.0,0.0,none,0.0,0.0,0.0,9.25329742459032e-09,0.10796386501135775,0.0001180961253375637,0.45761850617917965,0.4314565152852241,0.19570643685216704
alpha_plus_portfolio_rl_tf0.40,bull,2.3131731565865783,0.0,0.0,none,0.0,0.0,0.0,0.05973488876222483,0.10806675859993872,0.00011664921216837414,0.48744827641528987,0.17511957412890436,0.1359242924483895
alpha_plus_portfolio_rl_tf0.40,neutral,1.6693877551020408,0.0,0.0,none,0.0,0.0,0.0,0.08481633528255689,0.11538822176644957,0.00012518829403250316,0.5332480602687086,0.24288002764351702,0.1444922698223077
alpha_plus_portfolio_rl_tf0.40,bear,1.1358490566037736,0.0,0.0,none,0.0,0.0,0.0,0.10369812185650826,0.11478577155777125,0.00012931507888490088,0.4497306955807,0.1418199231199389,0.2923651718802355
alpha_plus_portfolio_rl_tf0.50,bull,2.373056994818653,0.0,0.0,none,0.0,0.0,0.0,0.055274620333677284,0.10383546940991871,0.0001124061572967355,0.48689767619576846,0.12865742899557137,0.13671620886295982
alpha_plus_portfolio_rl_tf0.50,neutral,2.0227848101265824,0.0,0.0,none,0.0,0.0,0.0,0.07394937588294476,0.11555590486146707,0.00012526161933401438,0.5308680999538502,0.3093457937752305,0.1417330344732917
alpha_plus_portfolio_rl_tf0.50,bear,1.2654545454545454,0.0,0.0,none,0.0,0.0,0.0,0.1031636449943984,0.13870942885265627,0.00015677362940079388,0.4497913779522076,0.2628664423088072,0.3062525073364556
alpha_plus_portfolio_rl_tf0.60,bull,1.8645833333333333,0.0,0.0,none,0.0,0.0,0.0,0.07717448796271864,0.10842288129755262,0.00011732875406632273,0.489668986097567,0.04324362573716856,0.12936374893911737
alpha_plus_portfolio_rl_tf0.60,neutral,1.6472222222222221,0.0,0.0,none,0.0,0.0,0.0,0.08580556430209989,0.11160919323230051,0.00012106544779326939,0.531812509949691,0.13057428037426191,0.13599345209930827
alpha_plus_portfolio_rl_tf0.60,bear,0.6333333333333333,0.0,0.0,none,0.0,0.0,0.0,0.14083334168368486,0.10444421189748891,0.0001142426806063284,0.4576122531291268,0.3546392427956975,0.16575112755270802
alpha_plus_hedge_rl_tf0.40,bull,4.0,1.0936205468102733,0.5550952775476388,none,0.045501242750621375,0.00023479943179666927,5.164373438433984e-05,9.221477557894198e-09,0.10105943905616484,0.00010904532260880712,0.4874771611702182,0.14605555037596654,0.1458147062434807
alpha_plus_hedge_rl_tf0.40,neutral,4.0,1.0122448979591836,0.41836734693877553,none,0.04163265306122449,0.0002964295272519946,4.6762817271273705e-05,9.231633038734378e-09,0.10925960332634176,0.00011854758685147563,0.533236261601576,0.1990335171797973,0.15931409768163585
alpha_plus_hedge_rl_tf0.40,bear,4.0,0.6377358490566037,0.3018867924528302,none,0.024113207547169814,0.0003066652165495652,4.5972637649249564e-05,9.21836683758603e-09,0.11433899260322207,0.00012944027148946788,0.44971437808855697,0.05219572072092263,0.3374186920297052
alpha_plus_hedge_rl_tf0.50,bull,4.0,1.0248704663212436,0.6341968911917099,none,0.04241450777202072,0.00022979719306701835,3.0337396718681097e-05,9.220864916174716e-09,0.09900794525739029,0.0001071394193972363,0.48683871931385153,0.08048394608636288,0.14363030146818648
alpha_plus_hedge_rl_tf0.50,neutral,4.0,1.0202531645569621,0.4481012658227848,none,0.043367088607594945,0.000279842659929083,3.655898804307021e-05,9.218694162187655e-09,0.10298046070988741,0.00011162663635169143,0.5308325445425823,0.2739642973300203,0.1502071315277204
alpha_plus_hedge_rl_tf0.50,bear,4.0,0.7781818181818182,0.2290909090909091,none,0.03149090909090909,0.0004074971954380322,5.019152506794812e-05,9.23660714701281e-09,0.13720413907639997,0.00015518160023678904,0.4498320249418867,0.20430786325597602,0.33139070865524983
alpha_plus_hedge_rl_tf0.60,bull,4.0,1.02734375,0.5755208333333334,none,0.041861979166666674,0.00023067994808428308,2.7288072706833376e-05,9.223347359592812e-09,0.10393356127442115,0.00011245155418311934,0.4896830048374243,0.0005774971451541103,0.13780253618108354
alpha_plus_hedge_rl_tf0.60,neutral,4.0,0.9138888888888889,0.5416666666666666,none,0.037861111111111116,0.00023171755471603202,4.544233888500477e-05,9.229146602815794e-09,0.10392526191151444,0.0001126967179740205,0.5317896698161473,0.09845174236531194,0.14645896783990214
alpha_plus_hedge_rl_tf0.60,bear,4.0,0.7444444444444445,0.22777777777777777,none,0.028777777777777777,0.00028658615949962984,2.3497055310911306e-05,9.254236301344439e-09,0.10545953023990454,0.00011537145281635042,0.45761030971143374,0.3647461663421585,0.19506832193311002
